Run,Assay Type,BioProject,BioSample,Center Name,collection_date,Consent,Experiment,geo_loc_name_country,geo_loc_name_country_continent,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,BioSampleModel,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,purpose_of_ww_sampling,sequenced_by,ww_processing_protocol,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,collection_date (run),geo_loc_name (run),isolation_source (run),organism (run),ww_population (run),ww_sample_duration (run),ww_sample_matrix (run),ww_sample_type (run),ww_surv_target_1 (run),sewage_type,lat_lon,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,External_Id,geographic_location_(country_and/or_sea),INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,investigation_type,Sample_Name,Submitter_Id,geographic_location_(region_and_locality),isolate,SRA_accession,Title,name_of_the_sampling_site,note (run),wastewater_type,samp_collect_device,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(latitude),geographic_location_(longitude),project_name,run_date (run),Sequencing_method,wastewater/sludge_environmental_package,Host,biotic_relationship,env_broad_scale,env_local_scale,env_medium,estimated_size,samp_mat_process,samp_size,samp_vol_we_dna_ext,size_frac,source_uvig,virus_enrich_appr,amplicon_size,epi_week,sequencing_platform,seuqncing_date,wwtp,Strain,collecting_institution,collector_name,host_common_name,host_health_state,host_scientific_name,host_sex,host_subject_id,sample_capture_status,passage_history,collected_by (run),Host_disease,biochem_oxygen_dem,chem_oxygen_dem,lab_host,collection_method,ref_biomaterial,Genotype
ERR5014633,AMPLICON,PRJEB42191,SAMEA7741813,BANGOR UNIVERSITY,2020-03-31,public,ERX4823534,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741813,ERP126028,492,6230167,2691450,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741813,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_01-Cardiff1WK1,Sample_01-Cardiff1WK1,South Wales,,ERS5489167,SARS-CoV-2 amplicon reads from wastewater samples,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014634,AMPLICON,PRJEB42191,SAMEA7741814,BANGOR UNIVERSITY,2020-03-31,public,ERX4823535,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741814,ERP126028,497,12398611,5360378,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741814,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_02-Cardiff2WK1,Sample_02-Cardiff2WK1,South Wales,,ERS5489168,SARS-CoV-2 amplicon reads from wastewater samples,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014635,AMPLICON,PRJEB42191,SAMEA7741815,BANGOR UNIVERSITY,2020-03-30,public,ERX4823536,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741815,ERP126028,497,36885046,15962972,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741815,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_03-Manchester1WK1,Sample_03-Manchester1WK1,Northwest England,,ERS5489169,SARS-CoV-2 amplicon reads from wastewater samples,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014636,AMPLICON,PRJEB42191,SAMEA7741816,BANGOR UNIVERSITY,2020-03-30,public,ERX4823537,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741816,ERP126028,495,15323090,6606106,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741816,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_04-Manchester2WK1,Sample_04-Manchester2WK1,Northwest England,,ERS5489170,SARS-CoV-2 amplicon reads from wastewater samples,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014637,AMPLICON,PRJEB42191,SAMEA7741818,BANGOR UNIVERSITY,2020-03-30,public,ERX4823538,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741818,ERP126028,497,36800938,15408558,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741818,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_06-Wrexham2WK1,Sample_06-Wrexham2WK1,North Wales,,ERS5489172,SARS-CoV-2 amplicon reads from wastewater samples,Wrexham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014638,AMPLICON,PRJEB42191,SAMEA7741819,BANGOR UNIVERSITY,2020-03-30,public,ERX4823539,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741819,ERP126028,496,36838003,16282024,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741819,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_07-Liverpool1WK1,Sample_07-Liverpool1WK1,Northwest England,,ERS5489173,SARS-CoV-2 amplicon reads from wastewater samples,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014639,AMPLICON,PRJEB42191,SAMEA7741820,BANGOR UNIVERSITY,2020-03-30,public,ERX4823540,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741820,ERP126028,496,36302020,15993728,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741820,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_08-Liverpool2WK1,Sample_08-Liverpool2WK1,Northwest England,,ERS5489174,SARS-CoV-2 amplicon reads from wastewater samples,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014640,AMPLICON,PRJEB42191,SAMEA7741820,BANGOR UNIVERSITY,2020-03-30,public,ERX4823541,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741820,ERP126028,497,32070130,13806387,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741820,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_08-Liverpool2WK1,Sample_08-Liverpool2WK1,Northwest England,,ERS5489174,SARS-CoV-2 amplicon reads from wastewater samples,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014641,AMPLICON,PRJEB42191,SAMEA7741821,BANGOR UNIVERSITY,2020-03-30,public,ERX4823542,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741821,ERP126028,497,34164713,14640887,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741821,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_09-TheWirral1WK1,Sample_09-TheWirral1WK1,Northwest England,,ERS5489175,SARS-CoV-2 amplicon reads from wastewater samples,The Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014642,AMPLICON,PRJEB42191,SAMEA7741822,BANGOR UNIVERSITY,2020-03-30,public,ERX4823543,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741822,ERP126028,493,11572506,5113759,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741822,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_10-TheWirral2WK1,Sample_10-TheWirral2WK1,Northwest England,,ERS5489176,SARS-CoV-2 amplicon reads from wastewater samples,The Wirral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014643,AMPLICON,PRJEB42191,SAMEA7741823,BANGOR UNIVERSITY,2020-03-30,public,ERX4823544,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741823,ERP126028,496,13118575,5852126,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741823,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_11-Gwynedd1WK1,Sample_11-Gwynedd1WK1,North Wales,,ERS5489177,SARS-CoV-2 amplicon reads from wastewater samples,Gwynedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014644,AMPLICON,PRJEB42191,SAMEA7741824,BANGOR UNIVERSITY,2020-03-30,public,ERX4823545,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741824,ERP126028,496,34620288,15055530,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741824,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_12-Gwynedd2WK1,Sample_12-Gwynedd2WK1,North Wales,,ERS5489178,SARS-CoV-2 amplicon reads from wastewater samples,Gwynedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014645,AMPLICON,PRJEB42191,SAMEA7741825,BANGOR UNIVERSITY,2020-04-07,public,ERX4823546,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741825,ERP126028,496,31862727,13921051,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741825,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_13-Cardiff1WK2,Sample_13-Cardiff1WK2,South Wales,,ERS5489179,SARS-CoV-2 amplicon reads from wastewater samples,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014646,AMPLICON,PRJEB42191,SAMEA7741826,BANGOR UNIVERSITY,2020-04-07,public,ERX4823547,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741826,ERP126028,495,19070195,8412360,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741826,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_14-Cardiff2WK2,Sample_14-Cardiff2WK2,South Wales,,ERS5489180,SARS-CoV-2 amplicon reads from wastewater samples,Cardiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR5014647,AMPLICON,PRJEB42191,SAMEA7741827,BANGOR UNIVERSITY,2020-04-06,public,ERX4823548,United Kingdom,Europe,Illumina MiSeq,unspecified,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2021-01-05T00:00:00Z,SAMEA7741827,ERP126028,497,17653711,7785402,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",,,,,,,,,,,,,,,,,,,,,,,,,,Municipal wastewater treatment plant influent,,2020-12-28,2020-12-21,2020-12-19,2020-12-19,SAMEA7741827,United Kingdom,BANGOR UNIVERSITY,Bangor University,2020-12-21T04:05:24Z,2020-12-19T16:35:14Z,public,metagenome,Sample_15-Manchester1WK2,Sample_15-Manchester1WK2,Northwest England,,ERS5489181,SARS-CoV-2 amplicon reads from wastewater samples,Manchester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
